x,y,label
5.461991,5.019801,0
4.191799,5.656077,0
0.884106,6.098307,0
0.559414,5.840582,0
-1.692214,4.688926,0
5.820705,4.917397,0
7.623487,4.950350,0
-0.241970,4.189172,0
5.820647,7.825454,0
4.373938,8.713937,0
6.151652,7.323490,0
7.296335,4.703732,0
1.820035,4.547921,0
3.314879,6.751346,0
5.908111,5.781541,0
2.543345,4.585489,0
-0.044943,8.702605,0
1.561587,3.325262,0
2.729794,4.007272,0
5.401612,6.912486,0
1.294646,7.680721,0
0.307011,6.235835,0
5.189629,5.431345,0
4.339681,6.968386,0
-2.355054,5.778469,0
4.203200,9.309245,0
4.837023,8.474641,0
1.058186,8.087954,0
6.574069,7.336059,0
7.249408,4.724242,0
-0.599933,6.599005,0
3.986704,3.795027,0
1.368608,3.287352,0
2.454507,6.078124,0
2.373678,4.845608,0
-1.662632,5.945854,0
7.303647,6.574502,0
5.292116,5.000561,0
3.737265,4.096805,0
4.664528,4.298186,0
-0.701993,6.507031,0
5.489824,4.754391,0
1.252923,3.990934,0
3.820393,4.472513,0
5.891366,4.831774,0
-0.962038,5.342566,0
3.283944,3.864670,0
0.757848,7.802812,0
0.636187,4.238499,0
-0.071440,5.656270,0
6.140292,7.594055,0
0.859656,5.208110,0
7.472100,6.334044,0
6.698758,7.781836,0
-1.646062,5.135439,0
0.866910,4.202446,0
1.201234,5.581573,0
1.775779,4.730932,0
0.057358,7.556431,0
7.378565,4.609870,0
-0.117513,8.693094,0
6.972566,5.070213,0
-1.430720,8.103431,0
4.215228,3.446743,0
4.342784,5.321202,0
1.475512,6.551242,0
2.464875,3.674392,0
2.141994,3.828034,0
0.492391,7.862564,0
0.782842,7.512838,0
3.812786,8.724393,0
0.996783,4.012625,0
1.598191,3.500742,0
2.809886,8.912442,0
-2.582974,6.430660,0
6.451614,5.269113,0
2.431900,5.102529,0
3.427642,5.700500,0
-0.246907,4.082208,0
2.232966,5.520202,0
4.749980,5.069232,0
5.303506,3.866291,0
0.951123,8.599462,0
0.107376,8.470952,0
5.456089,4.568429,0
5.946156,7.402947,0
7.395372,6.601242,0
-0.655421,6.072507,0
4.019226,4.017661,0
6.380442,5.656271,0
-0.466415,7.386210,0
1.973067,4.132186,0
-0.091157,6.726013,0
-0.248007,7.284742,0
7.278776,6.624221,0
0.660926,5.404119,0
3.494685,3.723796,0
4.526342,4.476730,0
4.283813,3.555658,0
5.899411,4.184417,0
2.807922,4.710986,0
-0.691951,5.356237,0
3.928926,4.408033,0
0.811361,3.850752,0
3.820308,4.826134,0
7.901795,4.916655,0
7.724038,4.979042,0
5.482970,5.343763,0
4.723364,3.751553,0
6.390933,4.363719,0
2.477150,9.455906,0
0.439904,8.495322,0
0.494730,9.532590,0
1.774338,5.824768,0
4.995080,5.241760,0
6.529982,3.276895,0
6.323539,3.830849,0
0.236922,3.779929,0
1.167161,5.828641,0
1.368673,9.061563,0
2.434433,3.875626,0
6.421461,7.432719,0
2.777036,4.358969,0
-1.234647,4.302581,0
7.684203,4.613832,0
7.041339,5.729304,0
0.443561,8.961536,0
6.212369,4.411206,0
2.578180,10.357438,0
6.714221,7.710971,0
0.410799,5.085706,0
5.229623,3.773519,0
0.446705,5.633932,0
6.191353,7.391328,0
7.952199,4.940383,0
4.346625,8.735740,0
-0.958868,5.725715,0
1.669324,3.197235,0
1.614795,5.544625,0
3.086269,9.659829,0
0.544270,8.422311,0
5.855009,5.937945,0
4.283928,7.986513,0
2.098620,4.103230,0
4.330686,3.669156,0
3.049076,4.776174,0
3.598175,5.187437,0
3.953865,4.881787,0
4.387252,8.007608,0
4.394655,5.237016,0
5.548635,6.229714,0
1.044055,7.714067,0
-1.574777,5.660739,0
2.267748,4.808488,0
0.194229,6.463118,0
1.036514,5.178785,0
2.440133,3.771609,0
6.669885,5.230095,0
3.840957,3.956689,0
4.334777,4.330550,0
7.401688,6.603226,0
3.138189,5.083957,0
2.418059,5.185038,0
-1.044700,5.809463,0
5.017582,4.239525,0
-0.570663,7.209568,0
