x,y,label
-0.519123,-1.414168,375
-1.103336,0.750207,687
3.970586,1.893035,191
-0.208055,-3.582510,20
-1.076836,-1.225333,371
-0.434715,-1.167757,396
-2.035539,-0.470428,640
-0.977059,3.892619,618
-5.098731,-1.746296,871
-0.438473,1.365957,160
0.523317,-4.335771,802
4.713901,1.801165,649
-1.927915,-2.821522,87
-2.896888,-2.687570,607
1.455917,-1.002322,47
0.471090,-1.915331,752
-2.850260,1.022423,959
-2.725938,0.181470,256
2.216102,-0.935250,968
3.521471,1.151431,521
-1.480195,-4.789407,7
0.136327,-3.488960,149
2.414685,-3.054472,916
2.098126,0.292888,163
-0.846046,-2.628863,545
-4.765308,-1.358522,185
-1.962091,-1.010080,472
-0.325078,0.511335,49
3.496747,-2.718149,320
-1.223680,-4.806921,179
1.250964,-1.108206,658
0.059627,-1.104723,156
-3.849301,-0.696569,941
2.564209,1.731980,74
-3.544216,-2.721262,561
-0.648915,-1.150950,909
3.273622,0.440607,447
-0.841590,-0.176042,162
-4.805823,-1.755453,587
-3.758020,-3.132411,980
-1.501699,-4.272394,471
1.141319,1.089263,534
1.145810,-4.389432,169
-2.836565,-2.043684,861
0.215627,-3.863953,666
-0.695001,2.304862,616
-3.339777,-3.109860,643
-2.031670,-2.675671,366
-0.407089,0.423357,583
1.726915,-1.719748,620
0.390846,-2.544035,973
3.593235,-2.621924,273
-0.168377,1.171245,63
-0.878595,-3.318439,669
-4.907069,-2.043931,561
4.073605,2.126711,285
3.221200,-2.128224,678
-4.390426,-2.963425,300
-2.822556,-0.566770,989
-3.352890,-2.922220,969
-2.528587,-3.867443,278
1.149330,0.655590,462
-4.220135,-0.718143,811
-2.072074,0.589683,330
1.447739,-3.636041,802
-4.057334,-2.376498,1
1.352798,1.778651,862
2.735368,-2.449905,560
0.958918,1.294437,966
-0.349261,1.735028,816
1.986204,-0.760726,562
-2.690709,-1.288263,732
-2.342442,3.762089,633
-2.903545,-2.792177,361
2.411712,0.238255,329
0.362643,0.711559,354
0.251729,0.277169,577
-3.934706,-2.688087,596
-2.878812,-2.489511,967
-0.185054,-0.351404,49
1.099133,-2.238364,302
-0.304773,1.518731,966
-0.349212,-4.741772,407
2.437756,0.505266,835
-0.748363,-0.787016,824
-2.613139,1.246749,68
0.318828,-4.538268,29
3.976461,-2.416998,269
-3.474266,0.333859,566
1.185256,2.544123,173
-2.103101,3.172451,633
-1.848170,-2.996557,61
-0.874101,2.217849,466
1.291506,-2.986401,161
-1.471192,-3.489898,627
-3.932592,-1.248430,480
-0.076294,0.328639,640
0.464369,0.015457,846
2.070500,-0.884771,393
4.304626,-1.797911,534
2.679695,-1.175179,476
