x,y,label
9.493326,-1.206608,305
-9.319278,-2.375792,37
-8.930854,7.995994,564
4.318038,-10.960983,978
-2.772195,10.247893,489
-0.914822,1.370413,319
-3.744217,4.992957,950
0.021485,-8.356851,99
-8.618629,2.606753,34
0.694064,-13.404425,835
2.995934,8.604647,309
-1.082748,5.406283,765
-0.363500,-4.059573,467
-5.949792,-12.770127,598
-7.096026,4.129277,806
7.845865,-7.475992,88
-0.610130,4.370255,653
3.660001,2.644696,675
-4.930879,9.219643,340
6.881228,-1.218487,719
-5.487706,-3.944793,628
0.697749,-3.698660,978
-5.709534,-9.188808,271
0.404815,-8.292811,876
-3.791219,9.306413,96
-4.592651,-11.113997,890
-5.841850,2.442773,894
-6.564110,3.596138,395
5.102877,0.100432,80
-8.552236,7.194919,564
6.887974,5.864872,971
-4.344315,6.586770,171
5.664841,6.966838,969
-0.211026,8.660921,34
3.840020,-7.331756,165
14.374843,1.066470,821
2.623302,-0.028047,645
2.383862,12.848608,410
-6.794817,-11.595155,994
-8.217127,-1.694596,788
6.592514,1.209353,626
7.058005,-4.938699,216
-3.587703,-9.653475,625
-1.861503,13.405603,264
7.824746,8.913765,588
-7.140930,-1.791981,534
13.314059,-6.228149,510
-4.243201,4.445144,533
-2.357418,1.219017,368
8.487654,4.268528,263
0.869927,-8.803057,201
-2.501597,7.492723,113
6.400437,2.114242,501
5.236759,2.286087,225
1.834405,2.452260,524
-1.629077,-1.141669,266
8.042193,-2.818784,744
-3.392630,-3.225674,742
-8.049624,5.417927,574
2.470281,2.771836,224
-0.833311,6.267976,37
1.727325,-6.017854,546
-2.406360,-11.273001,454
10.453013,5.788484,736
5.916669,-8.529657,153
-3.259436,5.132989,534
-4.719406,11.210364,530
-5.898075,6.960122,764
3.745870,-3.052012,458
-6.575821,-5.999781,883
-2.932015,4.499460,205
5.055336,6.144995,345
8.311155,-1.062033,571
8.318032,9.155333,689
-5.588731,0.552554,415
-0.649590,0.077392,488
2.765563,9.313277,140
-4.068953,8.907196,719
-3.466282,0.236737,21
-0.825016,-8.384095,487
11.446007,-0.322341,717
-6.975571,4.055773,951
3.890624,10.263262,563
9.824471,0.120834,684
-4.152679,-3.623643,223
4.177149,-3.044304,322
3.848233,1.332588,789
4.901913,7.408555,166
-6.279601,7.908264,623
13.794167,3.103794,822
-7.292266,1.334807,711
-1.624386,5.530450,803
-4.901015,-4.328770,843
13.528922,-0.992746,517
-0.291395,-9.923569,934
-0.876806,-8.666933,205
2.700518,-0.778823,128
-8.944780,7.970466,173
-0.420075,-0.243434,721
1.524566,1.184812,334
-10.170672,3.009901,623
3.517992,8.988918,892
10.332544,-1.687819,372
-7.913857,-4.686235,199
1.036357,-6.604421,369
0.070710,5.684685,550
-1.651216,-1.772604,930
0.865267,-1.216685,793
-4.406130,-2.015821,576
-8.381212,0.806562,563
7.759170,7.817213,908
-8.637705,4.113333,587
-6.345046,1.349027,783
9.705135,-0.021382,876
0.626052,10.780686,120
11.650002,-1.419308,29
-2.487205,9.336464,571
-8.757170,-0.842247,872
7.537079,6.037723,809
1.053380,0.945138,693
3.124098,-6.181540,396
-1.507761,8.074228,129
1.458482,8.333904,325
7.807390,-3.540320,153
9.258265,-1.416616,257
4.390464,1.080887,727
6.397924,-2.269541,760
-9.825585,4.300333,982
-8.184354,1.007334,677
-9.423009,5.626396,530
-1.519566,-9.568430,494
0.442318,11.544107,21
-4.965885,3.790942,18
14.171131,0.931038,967
2.876746,0.687012,373
2.610435,-6.640686,38
12.028310,-1.674876,404
3.684386,5.545300,395
11.607988,-2.477423,525
