x,y,label
0.773651,-12.384555,518
0.789092,6.186150,995
-3.209777,6.562034,189
-4.664085,-8.817352,847
4.547395,2.745432,583
-2.532926,-9.401584,118
-3.456108,-3.895546,196
-3.239148,4.121617,206
-8.291915,-6.873301,89
9.362978,-3.096997,970
3.860000,2.228980,349
-0.922441,4.451826,452
13.299776,-2.501206,92
11.642098,2.175033,815
-2.673343,-1.019662,905
4.916030,-1.997305,360
0.554896,-13.041361,792
-0.963455,-5.420127,210
5.851568,2.161004,32
-3.063324,10.193386,384
7.474284,-2.780168,962
1.353541,2.601950,884
2.775910,-11.290011,903
-8.066602,-3.088860,958
1.191185,11.469906,640
-4.531796,-5.342280,283
-10.847088,2.982641,541
6.743168,-6.865467,875
-4.035377,-5.777262,464
3.071491,-1.410706,214
-6.002928,-1.706715,924
12.116643,6.152851,278
9.269352,-0.886559,767
4.380511,1.191729,661
5.709749,-4.538653,483
-4.837630,-11.555913,219
9.601383,-2.631980,397
3.871137,-13.154447,397
1.955173,-7.325229,369
-6.741016,8.178715,804
3.215880,11.216868,474
-11.840809,0.683249,477
1.602306,12.584978,664
2.874158,7.979477,454
7.639557,8.936515,689
-7.295236,-4.250518,80
8.428982,4.052347,558
1.528976,10.706853,525
12.179770,-0.175092,36
9.211418,-3.019047,119
-14.086297,0.789365,179
-8.225355,-5.781742,153
3.319548,-0.418608,88
1.601338,-0.439640,98
-9.553786,-6.062886,330
-11.769800,3.822680,118
-7.469981,-7.448643,738
-15.235425,1.654344,296
-3.151183,-5.136070,651
0.306590,-3.234962,409
-7.596630,-3.000807,425
-7.841154,5.455227,61
-1.241231,-8.787101,516
0.802970,-4.501028,941
4.819098,-6.577567,999
-8.073404,-6.748687,879
-3.321717,3.466295,353
-7.228851,-0.511191,336
-7.487255,-6.756000,330
14.314251,-3.116009,483
8.959077,7.994858,664
-0.719326,-2.411856,994
-0.453934,3.989241,414
-12.087587,3.750735,720
4.253952,2.551231,361
-10.830987,6.482656,85
4.013497,10.544269,672
-3.743369,-2.213889,942
5.042014,3.782413,525
6.142587,6.952905,439
-7.862336,-2.186322,108
-14.302835,1.850771,127
3.849706,-6.737967,573
-3.781360,6.934282,10
8.372994,-5.717607,909
-9.172619,6.247932,907
11.032452,7.910143,394
-11.299830,3.369760,218
1.369252,-9.106945,874
12.017985,3.657676,689
-1.835829,-2.852391,398
-1.677605,-8.270218,22
-5.826146,-5.013605,552
7.844249,-1.764768,308
-3.721207,1.681280,948
6.705298,-6.511018,95
-4.182969,-0.577247,760
-2.159029,-3.357442,19
4.490667,10.263428,184
-10.401697,-6.258560,679
-4.283018,1.367128,597
11.149801,0.566991,815
4.501509,7.364401,136
-1.584165,13.066907,770
7.173226,-3.119250,150
8.968616,-0.228046,100
-0.102267,-2.849721,318
-2.430616,-1.933947,870
0.693644,6.976143,639
6.357344,1.602948,608
-4.791521,-1.270522,919
-2.209439,4.914760,450
-11.754508,3.421343,853
3.485277,10.630372,672
-2.277522,7.291271,260
7.840448,-10.751342,53
9.068973,-5.985302,999
8.368895,-3.465202,498
2.636628,-2.392199,386
-5.304318,6.344046,966
7.380749,-5.541916,852
-3.403491,-8.671330,813
4.851256,-5.427601,319
-12.511302,5.274144,661
-4.349504,3.212597,733
3.010611,7.885994,734
5.697259,-0.632477,698
4.335714,3.198281,875
1.037085,10.853127,602
8.797180,-3.079511,917
2.159220,1.754007,900
-3.851461,1.543421,60
-6.016615,-6.104352,139
-6.660171,3.991635,651
-13.622440,3.037050,127
-1.033742,-6.906023,254
7.838194,-8.808755,54
-4.600908,-11.324951,175
1.771914,2.519143,506
-3.856988,9.285595,258
-1.653375,-7.895091,855
3.214955,0.171524,831
7.306197,10.240180,257
8.097659,-4.287395,440
7.449783,-5.899874,100
-4.796076,2.157784,802
6.157398,-11.158610,502
2.107231,-7.296040,340
-5.783648,5.498081,973
2.521946,3.712814,548
3.133464,0.843863,842
-11.303020,1.589372,59
0.787979,6.550326,952
7.125756,-9.903773,49
3.256508,12.418489,262
8.653134,6.641370,551
-8.888322,-1.439023,680
-2.085144,0.008983,208
5.251843,-5.721553,774
1.829346,-2.983333,531
-10.006363,3.741384,103
-0.625973,-9.087493,391
4.458048,-9.231328,535
-3.737390,1.356610,343
-10.750559,6.903650,282
-5.545399,-2.455316,636
10.603514,-3.730811,830
2.204752,2.861217,624
12.415195,0.387635,872
-8.526849,-5.139716,335
8.342163,-1.792667,558
3.047014,6.511562,772
1.271629,10.714883,310
-2.507577,-3.011290,755
5.570135,1.589492,868
-1.620650,-6.381471,613
5.635613,-6.991236,674
-3.617697,5.959951,372
2.998569,1.288162,475
9.994628,-1.138303,712
9.581004,-0.269949,598
5.761781,-4.517751,124
3.823427,-7.214768,304
9.174105,0.172883,530
-2.750156,-6.950164,904
2.327988,-6.301259,366
5.450663,3.807219,984
-5.959226,6.885945,46
6.020092,-6.730701,418
4.177173,5.964536,405
4.947651,-3.511819,237
-2.529499,-11.804405,932
-4.565729,-2.257087,973
1.120449,7.490667,629
-7.521504,-3.232188,273
5.769802,8.268625,136
-4.063380,-7.420361,391
1.630235,1.596074,730
-1.291690,0.257717,946
-1.762507,9.469247,260
2.227748,4.969357,305
2.162053,1.954276,917
-4.259758,9.674330,226
-5.606689,-4.186685,505
0.718079,11.824245,895
-1.653999,-3.277084,276
1.003416,0.442152,371
-7.241398,-8.779620,450
4.004515,1.165078,612
2.582004,-11.994238,300
8.974577,6.593669,891
-2.428573,8.923447,962
-0.781076,2.170228,249
-0.761320,10.925392,705
-5.293092,4.345497,310
8.845198,-6.747246,267
-10.826991,4.486298,23
-1.854497,-6.718309,597
2.867249,-12.765773,102
-1.753415,2.031059,353
-5.110794,13.781910,12
-3.096849,2.455692,90
-2.898162,3.293274,957
3.743569,-0.725820,681
7.483951,0.382578,76
2.100848,-7.042216,964
4.283405,9.178770,999
-7.415008,2.288181,760
8.237664,7.515417,115
-0.611139,-4.081468,47
-5.247863,-4.887755,82
0.919269,3.547012,769
-7.554299,-4.549899,492
13.816722,-2.359990,363
7.109348,9.313620,593
4.181408,-13.317382,747
1.869508,-4.971940,350
1.568544,-3.509843,356
-7.646361,-4.971345,709
6.023127,-0.989983,591
2.301022,8.256696,178
8.506370,-1.437428,1
-14.648739,0.575126,447
-11.070221,2.476199,678
8.289677,-9.387080,630
-0.243573,-9.267894,570
6.675059,9.202407,900
7.532808,4.875116,246
2.251961,-5.703120,842
2.326759,-4.984532,73
0.208946,-5.493895,503
-12.126860,-3.513357,399
0.770365,12.049481,237
6.569373,-3.670475,813
7.689559,6.943191,188
0.546350,1.985725,815
-0.832293,9.392341,970
-2.427769,13.386607,624
