x,y,label
-0.417291,7.588416,118
-7.932369,5.094299,283
5.360765,5.088436,583
-4.531743,-5.954884,626
2.136398,7.526680,252
1.411345,4.842094,786
-0.982426,0.834058,502
4.443270,13.024508,64
-14.090402,4.121900,799
-3.975319,4.861968,569
-1.075677,-9.229194,814
-5.293004,-0.855924,316
-7.490544,-7.866235,369
8.383182,5.368210,385
-2.732032,-10.145808,833
-5.098163,-10.360454,502
5.762128,6.081062,479
-2.271602,5.750574,218
-2.230870,-4.960409,796
-3.563340,-8.154476,139
-6.771756,-4.149505,998
-2.170868,5.596719,860
3.242756,12.377257,147
3.729720,0.789061,645
-12.878386,-1.947321,353
-3.467840,-9.039725,675
3.693450,12.132837,23
0.649576,5.253929,209
3.515453,-0.054079,180
1.786024,5.528062,287
3.978610,4.732310,735
-10.470738,6.197954,825
1.253031,7.456916,64
4.387129,-13.434579,607
5.290980,-11.004302,967
1.330010,-6.425378,12
-4.537100,8.484259,725
13.995888,-2.449924,491
-8.772915,-9.051595,17
-5.596250,0.503137,233
3.230092,-5.410243,441
0.700401,-8.154948,196
12.532831,1.554242,182
0.583919,0.509951,93
9.398337,-7.716747,586
2.117622,14.179238,209
6.757227,-6.826129,437
-11.983593,-2.647503,714
1.400859,5.253829,943
-1.551959,-3.581318,758
-1.038674,-4.597738,369
0.318053,6.505328,662
-1.164507,-1.059472,71
-4.330315,13.886973,455
0.592618,9.565774,127
-0.729974,-15.089653,749
8.282651,-6.464569,668
0.913090,9.427651,809
-3.643568,0.446234,402
-5.438252,-3.087872,506
4.393773,3.647054,829
12.636638,4.596559,918
5.859707,4.439978,798
-10.592462,-2.379462,525
0.687305,-9.367097,655
-9.475979,4.042625,448
0.286282,9.909906,698
-1.673991,9.954746,360
7.776485,7.055345,486
-4.001047,-0.021779,933
-5.578183,-2.245701,961
4.896988,-2.451335,621
6.529718,6.281545,851
13.960248,-0.589698,278
8.143328,-0.122546,863
1.663897,-3.468540,956
12.829210,0.134978,779
0.577923,4.697596,370
-9.890298,11.288551,73
-13.721988,4.654427,727
-0.186343,-6.187799,386
-10.992809,-3.485081,326
-2.606995,-10.050678,307
-2.354467,5.640035,680
2.301835,5.991543,497
-6.572572,-6.503208,151
10.956803,-5.631953,819
-4.187156,-9.739890,602
1.904405,-10.597098,571
12.344233,-3.400341,174
9.948568,9.475379,811
-3.066603,2.272247,796
-9.164132,-8.387967,220
5.381280,12.691981,823
-8.023361,2.765983,896
-1.743878,9.360070,212
-8.225383,-2.837690,310
12.822919,-1.353739,135
8.669140,-4.153179,772
0.420157,-0.229613,435
4.065777,10.852904,383
1.043598,5.544855,42
1.471732,-3.306014,258
6.266178,-5.372902,468
-0.725764,-15.069825,126
-13.820667,3.415938,46
-12.940231,-0.385794,353
12.433698,-1.139616,174
-9.050918,0.754077,657
-3.453163,5.704519,882
-3.614091,-10.813285,438
-13.421443,5.874806,805
-9.434595,-5.929278,3
-0.908932,-0.624413,48
-8.680178,0.533885,817
4.059691,9.226218,14
2.812354,-8.941929,266
-1.505351,4.675895,685
-1.934989,13.615446,330
10.013235,-4.419131,397
12.234806,-3.995808,633
-0.168986,10.172609,330
-4.836601,-7.417810,833
-0.733355,1.956343,446
-4.090365,-5.401068,523
8.608247,9.800589,555
-0.873684,-1.624727,518
-7.549061,9.203112,831
8.571156,3.042030,69
6.533240,-11.853567,644
-10.058523,-7.336455,513
0.666461,3.378451,707
3.458160,-3.135824,414
-5.005855,5.234507,651
-7.621889,-5.375798,824
-6.195449,-4.278824,574
3.694570,-8.379721,873
4.398243,-10.957934,518
-11.855230,1.049438,482
-5.654318,0.843558,228
7.698608,2.769092,221
2.564351,10.841176,94
9.935535,3.077556,75
-7.920751,4.576985,40
-2.681418,-3.282097,425
2.146698,-3.253409,764
-0.561269,-5.198745,418
-6.756509,10.128880,596
4.879029,-4.249852,874
0.153335,4.597408,84
-3.904078,5.814912,89
7.605770,3.655455,635
4.259264,13.300507,916
4.202411,-8.914994,608
-4.477267,4.441380,800
-10.869610,-1.286875,520
-1.147528,-3.604945,316
-6.577202,3.758189,149
-10.648113,-7.772625,989
6.572842,-3.632426,865
-6.746335,1.965479,308
2.591345,8.018317,614
-8.202582,-2.856708,34
5.939336,3.520064,472
8.250778,-8.496186,532
3.594053,-12.243176,61
7.201970,-12.887103,1
11.124386,5.019905,588
-10.889625,-7.515269,513
9.707720,-11.967524,557
-8.878881,5.867409,356
8.171733,-8.184820,711
-12.733070,8.378509,6
1.846566,11.085414,127
-0.929198,-1.688142,253
-5.374018,-3.706804,656
-9.397774,11.716452,38
6.429531,-5.231747,313
-4.536618,-2.897403,902
-0.459490,-3.573120,601
-11.204735,5.084634,171
-3.714607,-0.801113,213
15.209644,-1.693662,270
-6.934038,0.618769,396
5.647290,11.181994,765
-7.395478,0.043012,504
-0.062662,2.487799,990
-6.357236,-4.997607,137
4.585436,-12.830479,45
-5.247602,2.215750,225
2.407333,8.499516,341
7.445470,3.916269,577
0.233993,2.807842,273
-1.173908,-6.576081,490
10.736240,-0.237104,996
-2.640101,2.151567,884
11.590381,-0.118615,471
-6.254285,4.088946,763
-8.435160,8.725407,680
-12.321394,-1.035810,565
-10.428520,-5.695512,262
2.666440,0.365977,907
-3.194865,1.063144,905
-3.720572,13.001014,678
7.473365,3.861699,42
10.564733,8.321051,309
8.245178,2.177646,877
2.067266,-0.105499,281
-6.152264,7.558009,669
10.825941,-5.299565,908
0.765183,9.477775,546
-2.675909,-10.769036,151
4.910598,-3.793706,376
5.578763,-1.665399,949
7.562898,-5.260943,720
-6.878942,-5.309895,582
-5.685003,-7.871929,827
3.044515,-5.542445,230
-4.998719,-10.137239,729
-9.573398,4.094210,707
8.654446,0.027372,453
0.592021,-2.820051,403
1.317046,-2.094700,348
10.393299,-4.819809,846
-4.977222,6.287368,61
8.360875,-2.674426,892
-0.708294,-15.384672,762
-6.990454,6.912202,372
2.931562,-8.200104,627
-9.607065,0.876312,859
3.848776,-8.993296,731
-0.717992,-15.353726,611
-4.669532,10.295886,988
-6.686574,10.052442,596
5.502160,3.514318,985
2.096677,6.679354,357
4.682785,10.348774,464
-10.255531,-6.546020,989
2.110665,-8.308796,157
6.262724,5.559483,293
9.248720,5.799663,735
15.174006,2.253913,53
3.661427,-6.851641,737
-1.426255,0.309158,201
8.694315,-10.984749,902
12.673559,3.392565,628
-0.677126,-1.134154,17
6.841857,-2.637326,667
-1.014614,-2.473350,857
-2.912981,12.106116,860
0.880187,3.033807,853
9.736982,3.285193,271
3.375620,1.526825,123
3.056454,12.802284,934
-4.100369,13.664450,7
3.685359,-10.579482,587
4.368796,4.654450,834
-2.354459,1.852602,894
-8.569164,-4.759483,527
11.605854,6.107814,290
-1.023975,-3.545497,818
-12.441863,8.095563,6
12.562704,4.432047,814
-6.940652,-5.098875,302
9.215471,-11.075783,397
3.677605,0.182788,223
8.561443,-8.592664,514
-10.449036,-6.112366,199
5.809556,11.626783,534
0.757997,-9.974221,295
-8.405474,8.837650,776
-6.639511,-9.983113,417
8.997556,1.517210,685
10.216249,7.123061,53
-8.738592,-8.375820,208
-8.446998,-1.742858,629
-13.146026,-0.474512,249
3.824758,2.117389,454
3.596199,-2.727927,249
-3.967554,-4.324472,460
3.654703,12.312977,786
8.291869,1.941804,196
3.986970,-14.807596,300
9.544301,2.598733,384
1.222093,3.571018,103
-6.081660,-10.059106,516
-3.868683,-2.394045,848
-3.606029,9.480901,57
4.714216,-2.107360,495
-1.617093,-8.986722,810
4.640991,-14.102313,117
10.861182,-5.947146,737
-3.455819,-5.693497,100
10.067444,7.877440,472
-2.979671,-3.318587,34
6.621013,-12.382468,798
2.156112,0.440085,880
1.199538,7.606015,768
-2.570582,12.202367,222
4.274291,-4.783428,230
-7.071454,-3.563291,66
-6.337114,-11.375335,443
-9.040364,3.803033,977
-6.185990,-1.781303,474
-1.413933,-7.011718,307
9.606439,1.893850,442
3.486584,12.006580,274
-2.346456,-11.789443,999
10.069852,0.111063,598
-3.927940,1.252881,503
6.427285,-2.098659,588
9.324405,-12.328546,653
6.712729,4.296223,113
-6.139108,6.441074,459
9.869554,6.070381,620
8.487813,-5.615205,498
-5.668994,-1.101773,977
-8.995437,-8.660788,785
10.009679,5.610827,521
6.765768,-0.168243,423
3.409564,-11.696904,607
2.540071,11.277237,610
-5.834922,-11.343316,891
2.875083,8.802783,336
-7.775246,6.421475,96
5.048508,-2.507653,668
-1.689197,-3.810719,801
-1.476986,-2.068111,155
-0.835303,7.919556,128
1.291588,-12.782492,518
4.318227,8.261975,709
-8.183217,10.371340,323
