x,y,label
3.814596,1.251005,279
0.266790,0.332868,585
-0.393791,-2.168124,492
2.600397,0.720313,309
1.153315,1.580153,967
2.128638,-1.763514,582
5.401592,1.330712,314
0.643206,-0.656623,91
5.107115,1.511452,811
2.988899,-1.017357,155
2.810021,2.344517,462
3.761423,-0.108845,601
1.185061,-1.305708,419
0.882052,1.201249,542
3.693731,0.155651,39
-1.641526,2.309053,67
1.113168,2.859299,266
-0.307874,-0.513322,267
0.495897,0.700344,207
-0.353406,2.745758,11
-4.116109,4.209511,397
0.406852,-0.582063,141
3.887873,1.403943,948
1.527825,1.689804,179
-0.869069,-2.234071,302
4.406764,2.905092,610
-0.119792,-1.083453,619
1.226930,2.973684,967
2.608613,4.961470,482
-4.132298,4.161135,674
0.794938,0.996695,801
1.427637,-1.743010,142
0.970522,-1.937697,24
4.457838,-0.613500,614
-5.100663,-8.214602,112
1.426744,1.021122,246
0.220601,-1.459895,590
0.832474,1.952411,341
3.162783,3.937516,560
1.816759,2.026303,479
0.312856,-2.410168,646
-6.022176,-4.196388,627
1.371466,0.478813,94
3.284206,-0.744692,774
3.190515,-0.215784,789
-0.196947,2.203849,437
4.329940,3.937676,241
0.541503,-1.946288,333
-1.136938,2.488538,781
2.802119,-1.432234,836
-0.192838,3.069685,570
0.751969,3.807583,198
-0.578955,2.925668,151
-0.150834,2.003171,609
0.456854,2.059026,376
-0.182035,1.275426,872
3.880485,-0.482718,466
1.585704,-2.330534,401
1.974060,0.716348,220
-0.462224,-2.007963,724
-1.074760,3.381030,878
3.725200,-0.829578,877
3.883709,4.716749,820
1.224361,3.586962,98
1.139832,2.619197,226
0.289993,-2.079834,34
4.307969,3.674782,732
-5.386798,-7.713155,347
-1.360833,2.840691,503
-0.287067,2.053789,680
2.441158,4.376088,728
0.473700,0.977491,478
-1.084802,1.098321,551
-1.003778,1.172389,37
4.153337,3.519211,498
-5.439391,-8.199546,445
1.740237,1.501536,405
3.122247,3.987140,805
2.019017,0.372613,86
3.447428,3.566493,312
-0.976463,-1.040347,742
4.912502,1.370183,200
2.630543,2.510389,759
1.455289,1.433954,972
4.487550,1.396790,999
-0.396158,2.779335,971
3.789848,-0.599727,667
0.420712,0.230000,275
0.886787,-2.394397,935
3.138061,3.773516,374
1.618150,1.489339,971
2.272690,5.699322,210
4.867314,0.889858,927
1.492043,3.814351,710
2.106380,3.265292,924
-2.658330,-1.239224,794
-0.452059,0.801349,853
-5.338897,-7.683915,66
0.421800,1.243749,892
3.340579,0.884599,819
3.765182,-0.484505,944
3.863290,-0.375764,889
4.740764,2.632925,431
3.020925,4.341205,451
2.517459,5.007260,121
1.373819,-2.580930,261
-5.110692,-7.455480,197
-5.452003,-4.462564,102
1.204733,-1.387564,101
4.456914,-0.260238,456
2.188348,3.726132,175
3.044662,2.321888,365
1.944776,2.330220,647
-2.038430,-1.065992,179
4.365920,-0.133168,268
0.767316,2.623858,262
0.199842,1.683981,411
-1.102031,2.790498,921
0.108320,0.304718,773
4.010025,0.974496,21
0.159382,2.653118,309
3.780316,3.864593,38
3.652396,0.391047,530
3.251112,1.077318,396
-0.688753,-0.449728,333
3.602988,-0.930985,664
1.275166,1.596081,602
2.371584,-0.628137,702
2.151660,0.183077,940
5.238199,2.410653,851
1.711272,-1.312721,418
-0.583347,2.157562,852
2.724010,3.093548,526
-0.960495,1.327000,443
-0.836925,2.243703,465
1.253640,0.941030,866
2.693914,3.649509,443
0.907000,1.006132,107
-0.099887,3.540903,954
-5.955181,-3.285385,530
3.741580,1.059155,172
1.069070,4.368765,885
3.523432,2.817452,569
3.196789,3.092323,680
2.596717,2.822095,503
1.985568,2.693126,454
-0.391473,3.623585,247
0.404101,-1.584450,502
-0.212353,2.294694,471
0.729992,-1.650456,849
1.419945,2.579484,523
2.951539,3.657528,200
0.249511,-1.473722,473
1.244814,-0.162977,681
1.960942,1.801738,831
0.399442,1.609978,603
-5.282932,-3.941421,96
1.624407,1.346064,326
-1.999282,-1.650064,698
1.279427,-2.184538,77
0.571805,-2.015357,668
-5.056698,-4.315191,321
4.462465,0.137333,395
1.697244,1.125229,99
2.765622,0.666533,246
-3.842684,3.753606,473
3.845474,1.092088,822
4.223600,0.760093,374
-2.677551,-1.051295,959
0.431185,3.855907,523
-5.490866,-3.465039,978
1.491651,0.896665,465
4.714763,1.673752,344
3.401374,1.535958,451
-0.006990,4.358538,754
4.375993,2.472053,41
3.739306,3.043091,20
3.335815,0.808367,232
3.844715,3.177410,992
4.579338,1.572428,550
2.124352,2.249919,969
1.288419,0.725584,557
3.774781,3.857716,707
1.554510,1.936356,729
0.045063,3.626968,502
1.855224,0.522814,469
4.150407,0.899613,482
0.971328,2.147275,273
-4.553003,-7.472812,966
1.484861,0.194660,520
4.374820,3.717207,797
1.544163,2.085028,915
4.235376,0.693737,581
-5.170560,-4.003704,416
3.013570,4.124287,764
-0.985387,1.573926,312
0.166415,-1.117435,441
3.591171,2.333530,357
0.472254,4.128745,595
-5.277295,-4.127947,171
0.174047,0.498272,358
3.674449,1.207246,650
0.138769,-1.155467,9
0.937407,-1.904903,178
4.055075,0.470413,64
0.991870,-1.574028,367
3.347728,0.817196,196
3.023275,1.951965,702
1.166726,1.022219,611
2.108277,-0.903510,542
5.236120,1.498055,177
4.276285,3.723431,783
4.881543,1.896487,586
0.191548,-0.958028,89
-0.127178,2.051080,295
1.242519,-2.340679,82
0.060500,-2.142058,92
0.049784,2.663607,226
0.824747,4.409484,300
0.330500,1.312909,79
1.239731,-1.014605,675
3.370694,3.767382,239
4.673472,3.384960,688
0.880794,3.091005,290
0.075987,-1.756870,65
0.154562,-2.132804,49
-0.333148,2.445964,285
2.984431,-0.650482,221
-1.041695,3.179201,457
2.078120,0.142119,898
2.230880,-0.058167,473
-0.664136,2.955795,761
-0.290445,0.739023,173
4.243547,0.151325,908
-5.430364,-4.133998,986
0.591259,2.167393,367
2.829062,1.140291,729
4.971704,-0.705910,498
-0.513025,2.854448,437
1.515338,2.787601,88
4.416662,4.157703,813
0.005098,3.839096,490
-1.731982,2.359427,334
0.401674,2.945520,908
4.636761,3.971833,65
2.814815,-0.057112,574
4.214757,3.154425,782
-0.032914,-0.505570,506
-1.416455,2.048307,559
-5.192998,-3.878625,856
2.097228,-1.382579,359
-5.017151,-4.009195,250
2.677370,0.940495,23
0.125577,2.693271,166
-0.243782,2.872354,311
1.965101,1.755729,770
3.347032,3.735013,94
2.656466,0.029200,939
2.957060,2.819879,894
0.230697,1.199483,361
0.039989,-2.515517,69
2.632301,3.037637,197
4.979476,0.026553,146
2.282819,2.659030,533
3.384313,1.627572,487
3.189314,4.053038,494
0.777430,1.336893,353
1.755644,3.033805,448
4.066694,-0.937203,352
2.786608,-0.001253,645
2.486089,-0.220232,569
-0.692403,2.824661,524
2.731716,2.149681,583
0.343778,0.133071,445
3.372231,-0.792644,388
3.422271,1.893329,328
4.169003,1.267796,674
-5.213492,-4.104534,334
-4.018449,3.933154,175
3.469520,1.712370,904
-1.282825,3.144561,267
-0.636664,-0.144395,307
0.923849,3.896080,405
-4.996058,-4.304219,692
1.678834,3.064989,879
-5.143933,-8.116787,855
0.845136,1.657251,543
-0.270766,2.452118,868
-2.763964,-1.012098,189
4.236777,3.369092,622
2.108344,3.266137,228
3.209800,5.580536,904
2.246159,5.676379,360
-0.686471,1.183193,962
2.600753,5.146029,649
2.186113,0.926456,903
0.105889,2.165999,319
5.005598,1.093753,163
2.242622,-0.864067,346
4.365311,1.588392,35
3.287518,5.087975,108
0.474623,1.376853,299
2.798366,2.701550,149
1.709609,2.894079,966
3.256344,-0.742128,662
0.572721,-1.559118,604
2.092526,-0.422392,534
1.339568,1.768193,410
3.674052,0.154165,641
1.897425,4.039312,142
-5.077489,-7.871168,906
-5.147120,-4.303071,953
2.055867,-2.701016,519
-1.656555,2.441084,188
-0.249709,-2.410311,11
1.618382,4.457855,847
0.843076,0.281099,960
3.993546,-0.910102,345
3.186248,-0.957363,950
0.037506,0.787918,289
-5.848763,-3.946976,528
3.318043,2.159407,856
-3.629640,3.967267,194
-0.606135,-0.562123,672
-5.204847,-7.717134,8
-0.124391,3.779403,171
0.711519,-1.552252,425
