x,y,label
-0.584981,-5.475852,747
3.102638,-2.065264,342
2.564487,0.554585,575
1.260742,0.107778,348
2.455913,-2.281008,376
1.346600,2.300480,514
2.045212,0.374034,750
-2.265082,-1.241204,242
1.420335,-2.185487,490
1.091400,-0.421314,945
-2.591189,3.301774,905
-0.310751,-1.789297,184
1.135533,-1.904598,691
2.338567,0.364141,953
-1.339206,-3.481642,803
-3.912289,-2.731935,657
-2.788413,-2.444758,129
-2.057328,-0.988418,289
-1.508941,-2.320934,241
1.347331,-2.401862,776
3.265749,2.265280,290
-1.480382,1.403930,86
-1.803740,0.958981,539
-0.192293,-3.325364,469
-2.790657,-2.456642,206
0.984363,-1.012018,766
-3.466160,-2.845800,673
1.302573,-1.279106,373
-2.026651,-0.890905,29
-1.402508,1.003418,992
-2.074259,-1.319914,569
-0.607515,3.338650,916
-1.414729,-3.430839,523
-1.518681,-4.049745,805
-3.834565,-2.436707,106
1.800421,1.515318,568
1.007681,-0.097635,255
-3.326502,1.530007,951
3.020633,0.346188,0
-1.272584,1.697168,844
-3.647461,-3.826393,771
0.341199,-2.924249,606
-2.870756,-2.154825,714
1.198104,0.654642,616
-1.573001,2.424853,477
-0.336484,-2.630090,59
0.003843,-0.299578,675
-0.236719,-2.599553,625
-0.365407,-5.677995,518
1.725882,-0.783322,438
1.671753,0.482808,883
0.492863,2.668651,33
-1.629011,2.763614,681
-0.555205,0.302651,149
-1.582794,1.749356,52
0.370465,-2.877388,212
-2.040655,3.024735,898
-1.364077,4.324426,837
-2.581737,0.667685,142
0.347072,0.531498,673
3.305802,-2.256544,501
-1.764319,-1.527749,12
-3.430201,-4.241920,574
-4.101235,-1.284501,772
2.408288,-0.688706,414
0.569156,-3.313575,973
0.513865,-1.243160,705
-2.059234,-1.375952,518
1.313575,-0.314207,112
3.662323,-1.480933,270
-1.581005,-0.151583,539
-0.914175,2.084929,926
2.143418,-0.157419,836
1.979951,1.178329,659
-0.657707,2.033986,790
3.265023,-1.607119,700
-0.583246,-1.482414,689
-1.791073,2.459938,82
-3.347786,-4.063636,386
-0.671039,0.906963,958
-0.729564,0.539723,839
-2.780533,-0.034523,190
-4.124072,-1.781957,768
2.210356,-2.084911,668
1.567935,0.183223,574
0.116202,-1.205005,883
-1.582611,-3.623315,854
-2.550585,3.264771,321
0.605180,-3.401715,265
-1.606261,-3.687189,200
2.544431,-1.116004,510
-1.679429,4.062450,698
-4.263027,-1.268069,442
-3.554093,0.643842,933
-3.256206,-0.541309,226
-0.589986,-0.922105,329
-1.346563,-2.884465,760
0.834956,2.039020,957
-3.309754,0.013120,569
-0.031259,-3.123804,616
-0.810242,-2.844205,867
1.429712,-2.788860,313
0.230845,0.725364,502
-2.473469,-0.656476,951
0.144943,-2.472925,849
-0.411874,-0.348618,801
-1.973573,-0.285226,360
0.221031,1.398654,149
2.034879,-0.651747,538
-1.106148,-3.557363,764
0.052732,0.195293,120
-0.854189,-4.050080,814
0.698652,2.879303,835
3.668039,-0.194211,567
4.102901,-0.790205,338
-1.658726,-5.530727,607
-1.375702,3.618207,691
0.219904,-0.681111,538
0.032344,-0.268242,32
1.748003,-0.581471,699
-2.450340,-0.235839,847
-2.140779,-4.514716,680
-1.435042,0.967754,817
1.970304,-0.767564,612
-0.745478,-0.204764,977
-1.770488,-3.035224,500
2.210631,-3.071037,641
1.214302,-1.795354,198
2.030457,-2.150131,172
1.616680,1.237478,275
1.977416,0.526776,76
-0.800234,-4.911187,518
1.909067,-2.629894,966
-2.128068,3.063085,749
4.351638,-0.714051,392
-1.496078,-2.173077,457
0.796366,0.204259,804
-1.386538,1.339725,569
-2.992231,-4.949491,937
0.641917,1.366636,850
-0.089140,2.335862,998
-0.294266,1.906387,652
-3.576177,-3.965565,300
1.142331,1.324252,462
3.014987,-2.131790,752
-1.006533,-3.451054,584
-3.030245,0.223917,856
-1.579382,0.101346,721
0.786162,-0.215924,466
3.092833,1.696707,128
0.320233,-1.265524,319
1.938358,-1.312800,883
-0.102799,-3.078206,861
2.484553,1.831859,521
0.447351,-2.445048,823
0.110038,-1.785937,378
2.582304,1.534855,962
-0.794013,-0.637083,107
0.993999,0.320172,824
0.617183,1.869890,979
1.560381,-1.425380,608
-0.664274,1.297182,7
1.254543,-2.345254,580
0.787774,-3.443244,104
2.878782,-1.384857,515
0.410266,-3.666661,365
-2.093127,3.912887,978
-0.910136,-1.671808,204
3.068583,1.780832,521
-3.859812,-1.512420,186
-0.298505,1.606344,375
0.211809,-1.931777,715
-1.801484,-0.328639,449
-0.197936,1.068487,206
-1.908675,-2.386758,110
-0.799121,3.509173,844
-2.297218,-1.780368,30
-3.717620,-0.943655,665
3.794777,-0.415572,234
-1.897843,0.349958,499
-1.034807,-5.542714,518
3.218776,-1.161352,32
0.794259,1.408629,151
-3.133746,1.901234,880
2.045201,-1.994185,489
1.791101,-1.565691,339
-1.438471,0.880082,620
-1.933893,2.419193,223
0.330398,-0.361716,410
0.380099,-2.115870,646
1.194711,0.540418,343
-1.174052,2.002261,451
-2.845119,1.532229,224
1.258594,-1.482374,355
-2.657393,-3.872462,186
2.138947,-1.804709,441
1.395508,0.206141,439
-0.145784,-5.537444,708
-3.954763,-0.772157,205
2.347192,1.832396,659
2.946717,-0.753216,69
1.695488,1.523582,777
-0.869153,0.202059,563
2.363362,-1.530931,923
3.391445,-1.706314,56
-3.158418,-2.531041,494
-3.893736,-1.645305,606
0.315857,-0.909450,112
-1.953328,2.962693,204
-0.506490,1.414007,29
-0.914484,3.308458,7
-2.072069,-2.179464,615
0.066461,-0.803723,774
0.471331,0.476060,380
0.024949,0.756432,310
2.166855,2.044274,243
0.200938,-3.263035,235
-1.986962,4.156112,888
-0.305075,2.689496,964
2.219136,-1.338597,51
-4.056653,-1.648399,48
3.338341,-1.851540,498
-2.379737,-3.497822,919
2.194184,0.430092,987
-3.199996,-3.675677,179
0.183408,-3.670498,619
-2.594784,-0.509629,491
2.536852,-0.752741,917
2.719558,-0.944181,394
0.793672,-1.266217,161
-0.142182,0.344932,807
-2.021730,-2.931677,579
1.259435,0.915707,414
0.546881,-0.965171,264
-1.847289,2.797068,976
-2.696258,-2.809912,381
2.461458,-1.661739,19
-0.294281,-0.155525,125
0.866516,-2.662086,318
1.949662,-0.583866,866
3.861321,-0.841580,159
1.138269,-1.852016,247
-0.635181,0.688611,688
-3.540851,-1.317461,499
-1.973755,4.383923,905
-3.508712,-2.526819,871
2.358216,-0.795516,637
-0.841978,1.346115,753
-0.377610,3.189321,217
1.550055,-2.368316,704
-0.233615,-5.367856,980
-0.539694,-3.777140,437
0.905711,-1.068899,906
-3.476959,-1.694388,571
3.120892,-1.301391,226
-4.000877,-2.280849,596
-1.815861,-1.061014,809
2.811373,-1.373286,836
0.287919,-0.918583,141
-2.226381,-0.349096,50
-1.913012,2.820103,527
2.720904,-0.120905,515
-1.723226,1.616966,448
2.013047,-1.956895,377
-3.273518,1.104824,920
0.112347,0.976166,833
-0.311468,-0.762951,616
-2.622033,-0.518547,681
-0.645207,1.600206,537
1.811221,-0.407630,117
-1.995343,2.551112,546
-0.221475,-0.912208,706
-1.651661,-0.812652,930
-1.550876,-0.764445,90
0.915805,1.661622,574
-2.180993,3.570726,447
0.189790,-0.618081,68
2.304807,0.745169,429
-0.666946,-3.029844,506
2.719054,-1.350494,54
2.314629,-1.166426,415
-0.217098,-2.526042,878
3.051805,-1.606704,32
-2.914928,-2.977177,212
-1.715760,3.694862,153
-3.482320,-3.575392,19
1.400294,1.602589,339
-3.066477,0.648462,988
-0.067765,-4.347481,263
2.789876,-0.537540,323
-1.120234,1.633847,822
0.521852,1.105339,239
-0.894813,0.325989,7
3.454961,1.729564,239
-1.752110,-2.104773,621
2.185490,-0.006754,694
-2.423129,0.162165,554
-1.803472,3.274939,958
3.549362,2.028803,705
-3.022887,-2.020449,803
0.605569,0.307638,985
-0.178199,-3.451787,842
-2.008698,-2.319060,672
-0.757287,2.873953,665
2.831565,-1.425006,715
-0.186599,-0.327931,519
-0.042902,2.256169,714
-0.758671,0.479918,710
1.122441,1.788585,743
2.222901,-0.715912,826
-0.131967,-3.318916,364
-4.071987,-1.530213,287
-1.094422,-0.816595,591
0.311714,-2.232503,78
-0.851368,-1.767440,836
3.064114,-1.541917,559
1.474517,1.808595,976
-1.413009,2.093583,222
-0.169562,-3.029100,830
-0.705209,0.970194,940
2.137789,-2.933908,527
1.592317,-1.403375,844
0.995299,-0.763840,184
0.115339,2.351142,961
-3.506022,0.851499,890
2.843310,-1.123312,931
-1.495692,-4.345332,605
-3.322777,-1.192976,492
-1.787113,-3.138311,714
-0.397559,-5.693891,392
0.688786,-4.167901,236
-2.282457,-0.706883,131
-1.061218,1.314657,638
0.574699,-0.934969,908
-1.350575,2.014543,35
0.917802,2.119713,619
0.382898,-3.922905,154
0.237141,2.521605,531
-0.987526,-1.706424,993
-4.436163,1.511783,471
-0.460984,-3.900137,534
-1.353694,2.983868,464
1.647165,-0.660292,791
-2.417510,0.529176,237
2.076729,-2.268409,592
3.485840,-0.614468,549
-1.239237,2.853749,131
-0.555767,-1.509006,805
1.491590,-3.154578,580
-0.471717,0.016184,434
-1.037305,-3.459499,157
-3.545109,-2.662947,596
0.277154,2.012658,966
3.202307,0.711440,770
-4.297344,-0.764750,569
-1.592939,2.687376,763
-3.238530,-0.817033,380
-0.354406,-0.557202,182
1.076754,-0.788258,245
0.999915,2.102232,730
-3.974693,-2.269908,253
-0.187690,0.855716,217
-3.286175,-2.095126,422
1.080962,1.540810,867
-4.499554,-0.666899,71
2.447727,1.070639,201
0.632567,-3.716662,592
-2.212266,-0.894462,372
0.452602,0.788424,435
-1.866010,-5.381440,994
-0.723284,1.011270,168
4.579412,-0.636108,153
1.787500,-2.202870,967
0.280029,-0.148975,81
4.177444,-0.462924,228
0.902421,-1.536151,653
-0.548095,0.239277,104
-0.734442,-4.213234,157
1.943003,-2.381118,458
0.749481,2.441108,948
-2.256570,-2.233457,879
0.735090,-3.348915,313
1.406802,0.382642,466
-1.290420,4.151505,693
4.110312,-0.475089,982
-1.892750,3.113271,289
-3.390516,0.102803,172
2.123900,-2.734133,9
1.086325,-1.978520,480
-2.628228,-0.464719,955
2.742350,-0.389126,487
-1.950505,-1.924864,793
-3.130263,-0.600465,418
1.195140,2.474356,586
-1.339534,0.675590,15
-2.921874,-1.269425,399
1.017234,-3.205180,610
-1.185013,-2.715798,86
2.752913,-0.376506,917
1.145270,0.722755,764
-1.092357,1.562692,894
-0.321258,-5.015719,726
-2.875023,-3.117633,492
-1.351025,1.771020,639
-0.546489,-2.083668,811
-4.331971,-1.510023,677
-3.207722,-1.268065,839
-2.138918,-2.172101,424
0.723309,0.154556,577
0.224225,-0.114348,511
-1.401904,2.388399,42
-0.601358,-3.663592,937
1.610850,-0.825906,490
0.911010,1.418083,786
2.739307,1.138711,545
2.251072,1.025704,762
1.962577,-3.914558,397
-1.732960,2.808035,522
-0.868461,2.172805,240
-0.989455,1.400634,292
-3.366598,-1.798638,98
1.710978,0.621470,123
1.546830,0.513120,454
-0.353984,1.255405,155
-2.628381,-3.756923,813
-1.582327,-4.021291,695
2.349881,-1.305215,991
-1.891280,2.247789,910
-4.006429,-0.380986,131
-3.262332,-0.950703,792
-0.660287,-2.259109,484
-1.436595,1.931303,713
1.515756,-2.276420,809
-3.174931,-2.872263,544
2.766665,-0.357499,2
1.562127,-0.391652,698
-4.157810,-2.600223,271
-1.132692,3.479459,856
-2.049975,3.324201,444
0.765257,0.636941,722
-1.360588,0.311296,688
-1.198598,-0.995843,770
-1.849272,3.742340,879
1.860887,0.499956,357
-0.392099,2.766054,331
1.005255,-2.595020,224
-0.880158,-0.456748,184
-1.698463,-2.500986,727
-1.609914,4.236241,534
-0.004152,-3.448268,506
-1.848109,-2.682189,325
0.550783,-1.890329,957
-0.598686,-0.648558,941
0.154745,-0.504904,170
-3.422138,-2.533619,877
-2.408824,-2.542733,24
0.284883,-2.793161,999
-3.874873,-1.729640,794
-3.956064,-2.129475,489
1.311229,0.104482,642
2.253783,-2.119743,965
-2.171473,2.813406,975
-2.382533,3.368158,14
-1.316957,2.557042,657
-1.301696,0.903564,759
2.683508,-1.517199,355
-1.472313,1.450109,90
-0.593176,3.221513,391
-1.062004,-1.703325,617
-1.163451,-0.222119,973
2.532765,-1.419543,621
-2.292508,1.628213,205
-3.247072,-2.734138,211
-1.641531,0.108994,168
-2.552162,-2.776564,459
-3.336949,-2.730064,48
-1.618513,1.904863,61
-3.017653,-2.405827,921
-3.150852,1.942098,855
-1.563298,1.255387,18
-1.608711,-1.625849,953
0.116879,-2.208277,687
-2.016957,-1.598708,922
2.231356,-1.614144,764
-3.252067,-4.439642,831
-4.561812,1.664005,779
-1.605192,3.674706,109
0.591832,0.849740,538
0.453324,-3.859801,860
-3.135006,-2.944309,299
-1.711066,0.602023,879
-0.425222,-5.403255,500
2.218322,-0.673284,960
4.471730,-0.557920,302
-3.588240,-3.704698,276
1.463855,-2.873540,160
0.697774,2.070101,410
-0.490758,2.247165,597
0.321134,0.627695,857
-1.781026,-3.136676,61
0.937405,0.182957,78
0.125404,0.660392,789
-0.411089,-5.822392,861
3.205761,-1.327473,935
-3.108067,-4.613761,980
0.398767,1.859258,17
-3.203355,-3.097347,643
2.469004,-1.288055,364
-0.358722,-4.121734,209
-0.287279,2.046062,920
-1.031979,3.301962,267
-0.032834,-1.226006,9
1.925097,-1.386625,852
0.426216,1.888910,867
0.192465,0.338914,255
-1.025422,0.986744,896
-1.829620,-3.749173,919
2.313340,-1.242246,124
