x,y,label
-2.540189,-3.246377,529
2.838542,0.439676,149
4.228735,-3.085297,579
-2.598644,-3.631416,723
-3.688492,0.789814,812
-0.926998,-1.918334,147
-0.003607,-5.317748,904
-0.176019,-0.931474,66
2.362297,0.191372,796
0.516141,1.976057,526
-0.211939,-0.585748,655
0.815450,-1.765958,597
4.728751,-0.721693,320
-1.774549,3.290937,739
3.923576,2.410628,850
-0.905321,0.335624,304
1.787262,4.032642,970
1.210900,1.216459,507
-3.538359,-1.304981,634
-1.594117,-1.799698,635
0.064056,-2.942172,451
-3.407654,0.666628,942
1.800359,0.738147,525
1.681676,-1.913229,603
-0.026219,-2.486475,89
-2.654854,-4.299735,288
4.990671,-0.737493,943
3.950192,-1.845067,323
-2.083917,-1.601628,624
-2.002921,0.885448,231
-1.764570,-1.317174,748
-0.196972,-0.661760,830
4.159221,-0.548633,299
2.746037,1.243411,878
-1.239238,0.637408,338
3.208024,4.862504,499
2.541765,0.396307,892
-1.827112,-2.448177,789
2.757632,-2.326442,907
-1.064746,0.126625,210
-0.687304,-0.503091,711
-1.703184,1.566276,737
-3.456928,-0.841798,73
2.901300,4.020189,390
1.547072,0.512123,524
-1.591652,-2.171951,831
-0.486305,1.066398,348
-3.954612,0.808603,970
-4.226098,0.487743,471
-2.726072,0.549492,51
-1.611284,-2.655909,884
-4.487937,-0.340082,787
-2.023209,-4.408961,926
-0.988312,-0.875625,419
-3.308509,-0.907857,895
1.822543,3.634549,871
-1.044318,-2.634663,107
1.124297,-2.734050,581
-3.943664,-0.881128,517
0.450315,1.169028,495
0.276772,2.217032,619
-0.964442,1.866566,840
1.976549,-0.769095,420
-0.148021,0.583981,588
4.734416,-2.489032,740
-0.067851,2.368699,757
1.594485,-2.884035,343
-2.750751,2.709193,699
-1.746376,-3.008197,197
-1.853870,-2.980065,492
-1.919463,3.889600,731
-0.688678,-0.455023,237
-1.587666,1.426083,51
-1.054347,-4.649316,747
-3.019470,0.928876,908
2.651716,-0.414972,753
-0.165828,-2.034046,940
-4.119384,-3.310072,708
-0.205553,-2.276436,977
-0.220507,3.122806,537
-4.000985,0.848098,172
0.325106,-0.691888,637
-0.263620,-3.009751,753
3.042300,-1.082263,596
4.652172,-1.829025,486
-1.394662,1.078257,649
-1.997631,-0.089073,588
-1.983111,0.852837,294
4.379107,-2.292183,327
2.538260,1.200427,443
4.617907,-0.890502,210
4.534194,-0.815054,978
0.719643,-0.265459,228
-3.629339,-2.200394,482
0.089067,-1.045038,331
5.033412,-1.946409,251
2.190569,2.722914,578
-1.000630,2.646919,653
0.564547,-0.412849,652
-2.948030,0.823672,252
-1.929071,2.123623,510
1.863192,-3.202375,177
4.320693,-0.947932,560
-1.007327,1.915537,36
-0.210693,-4.548653,396
-2.904562,-2.518712,558
-4.003784,-1.701782,144
-2.363248,-3.430558,107
2.151296,-0.769206,886
0.964322,1.674038,528
-0.338478,-4.941227,564
0.417044,-0.333065,189
1.811660,1.347577,934
0.914867,-4.145697,665
-2.053164,3.482603,11
4.545668,-0.913173,940
3.954643,-2.417691,809
-3.401978,1.649220,953
3.156832,-1.862116,116
-1.532542,-2.977616,134
-0.073233,-3.050563,177
