x,y,label
4.062055,-0.330498,57
-2.557176,0.235198,438
-3.519137,0.376572,540
-1.681161,-1.333263,848
3.812156,1.474509,983
-4.364509,-0.823410,159
-0.678688,0.114380,345
-1.066159,-3.657908,417
1.116127,0.780369,508
-0.436656,1.814925,862
1.116431,-1.526782,140
-3.992223,1.293097,2
4.794302,2.189015,550
-1.574348,-0.681275,540
-0.700601,1.045021,824
3.130466,-2.537112,340
4.115511,-0.151674,57
-3.350044,-3.121687,999
-2.951218,-2.968311,3
3.486109,-1.130444,669
-1.665303,4.302618,899
3.329836,-2.389981,120
-0.833986,4.403378,932
-1.726248,-0.509017,619
-3.192892,-1.212804,599
-2.277084,-2.370570,864
-2.633710,-0.815755,840
-2.934709,-0.572652,981
2.883477,-2.243645,371
0.627608,-0.465189,818
-2.827945,1.918010,778
-2.468513,1.509105,214
3.147669,-2.501114,799
3.429657,-1.976179,120
-0.850150,4.148141,690
0.630398,-2.353595,368
-2.747793,-1.310284,333
-2.254653,-2.214358,377
0.376358,-1.557410,474
-0.234175,-0.219670,39
-0.560300,-1.466263,310
1.416572,3.665774,934
-1.947899,2.709837,584
0.332882,2.097520,74
-0.695289,1.225903,426
-2.285658,-2.142119,479
-1.519217,1.843910,678
-2.204320,1.844121,515
-2.852060,0.281943,892
-0.306892,-0.736936,452
4.108410,3.084845,620
2.865097,2.375806,809
4.190458,1.005071,374
-1.742983,-0.969643,874
2.101000,-1.703310,753
-0.597882,2.295224,119
-0.694449,-2.096949,76
2.865779,-1.180419,149
3.222918,-2.402823,887
4.200293,2.746902,59
3.018397,-1.983415,318
-3.294554,-1.232249,30
-1.496560,-2.725077,201
-1.380932,3.292653,56
1.703852,-1.407523,710
-0.871876,1.002988,432
1.427105,3.747876,219
-0.116942,1.151875,345
4.255037,-0.498244,800
2.512221,-1.207115,794
-3.102782,3.848987,152
5.216318,2.069722,22
-3.544538,-0.932086,54
-0.760464,2.206545,58
-2.508482,0.854050,639
-1.465600,-1.487130,28
2.895303,-2.813769,409
3.713694,0.622839,330
0.467061,2.970909,747
2.633418,-3.336493,854
-0.825934,0.221652,701
2.225914,1.171913,858
-1.633475,-2.350120,609
-3.758866,-0.891242,872
-0.400301,2.408707,628
-2.987105,-2.550892,89
-2.156184,1.668018,836
-0.475182,-1.019769,731
-1.512085,-2.772726,245
-3.430030,-1.150830,234
5.051796,-1.133235,603
0.692866,-2.592241,39
5.576508,0.791718,366
2.478041,-2.647880,129
-0.541514,-3.856685,513
0.142850,1.376715,555
-2.292803,1.513528,174
1.934395,-0.229124,23
3.650234,1.686918,147
-1.543008,3.727223,775
-1.020070,-1.505028,228
-0.479143,3.943944,532
-0.942320,3.392547,119
-2.432324,2.988702,475
-0.580684,1.295862,574
-3.183386,-2.006353,3
-2.942315,0.178692,286
-4.286294,-0.676812,53
-3.160846,-0.144779,221
-0.917774,-0.527122,227
-3.407992,0.735910,998
4.446206,2.369420,444
4.114755,-0.758639,24
-0.352709,-2.345026,2
0.968703,-1.536573,977
-2.176312,-1.815576,857
3.152714,1.486545,402
-3.214674,-2.161549,914
0.655615,1.942296,962
-1.432627,3.508259,397
-0.585960,2.435584,746
-2.056672,-2.058197,454
0.557734,-1.732406,941
3.029972,-3.007108,565
-1.542591,-3.041132,593
2.201089,-2.767730,409
1.846356,-0.744916,682
-1.531881,-1.604983,419
-4.022206,-1.714263,878
-1.576680,-1.630275,439
-0.643992,-3.227610,664
2.663513,1.841009,42
0.568283,-2.416062,229
4.490655,0.432592,673
-1.392606,-1.074954,67
3.805845,-0.005981,533
0.329690,3.066496,138
-2.921608,-0.123518,826
4.287703,-0.077891,346
-3.060261,5.141725,901
1.996456,-0.079892,114
3.676550,2.133714,951
-1.846513,2.348302,132
-0.836330,2.164350,822
-2.240414,1.437043,25
4.631279,-1.369815,267
5.938012,2.103037,251
5.516824,2.414239,14
2.310296,0.374542,177
5.334329,0.701258,880
3.756638,2.084880,882
-2.727968,0.749164,540
1.288868,-1.684129,977
-3.295294,-1.694518,165
0.586366,3.897908,298
-3.246172,0.661844,49
-0.448136,2.305347,94
4.215304,1.029805,892
4.299704,2.348076,552
3.145519,-2.766190,854
-0.266178,1.235271,244
0.462652,1.758200,88
2.978661,-2.467564,805
-3.498231,1.202580,908
-0.541259,3.532612,288
-1.881350,0.124586,573
-1.358552,-1.709255,349
3.052397,-2.925126,326
-2.246232,1.698897,442
3.432153,2.344086,786
-2.343846,0.480977,987
1.520283,0.102771,260
2.590668,-2.587765,8
-2.953980,0.156319,534
-3.894877,-0.513582,815
2.506091,-1.053569,335
4.183626,-0.605912,622
-0.512613,-1.414898,442
-1.423606,-3.269598,632
-1.744046,-1.206092,763
3.429058,2.871586,853
-0.599948,1.456437,838
