x,y,label
1.789132,-0.414876,581
-1.620991,0.709337,266
0.108849,-5.626238,579
3.552971,1.458709,38
2.966081,-1.067624,730
1.689805,-1.432482,686
-1.961349,-2.729928,164
4.651918,-0.218615,998
4.498672,0.532168,540
0.095053,-5.598067,547
-0.756947,-2.856957,786
0.928739,-1.866666,715
2.729949,-3.265077,505
2.864021,-3.635741,814
-0.143019,-6.241773,886
2.106235,-1.340464,1
11.111028,6.605168,243
-0.255720,-5.333008,441
-3.369174,0.080429,263
3.481405,-3.947470,616
1.207708,-1.744186,210
1.872362,-2.241786,961
3.854249,-1.180493,356
0.833932,-5.799584,145
2.900891,1.680053,649
-1.759308,-2.387448,232
4.480889,-4.500886,159
1.918548,-0.088023,117
2.545220,-3.657198,297
0.493110,-4.830184,993
3.864626,-3.537908,898
4.715953,-1.058614,21
0.821593,-1.971005,499
-1.016405,-2.411901,760
0.413234,-4.289318,757
-1.027337,-1.752310,517
2.541051,-0.792563,294
-1.031761,-4.325879,760
-0.537774,-2.383992,479
2.164934,-2.445901,800
4.052076,-4.449338,810
1.664329,-0.061326,643
1.882163,-2.075114,370
1.326107,0.658814,823
-0.640826,-1.562181,693
-2.962687,-4.313449,772
-0.115431,-1.942970,822
-2.454162,9.307078,217
1.098499,-5.722489,435
4.290811,0.790211,822
-1.708993,-4.350900,809
1.034200,-4.934557,231
-1.771599,-0.991329,858
-2.725977,-0.273700,388
5.127801,-3.302550,315
4.218377,-2.541279,315
2.279594,-5.067959,809
0.354042,-2.958404,539
1.767814,-4.836238,689
0.695318,-2.329647,74
2.096549,-2.793059,778
-5.754385,-11.403758,591
1.592167,-0.859458,761
-2.314737,-0.515904,98
2.522353,-3.382896,206
2.623343,-2.357316,325
1.663923,-3.552869,444
2.306673,-4.257782,449
2.859487,-4.413751,271
0.769241,-5.448930,35
1.969040,1.397418,412
4.222185,-4.115680,793
1.552809,-1.060766,303
3.840506,-4.813382,863
-2.181096,-3.183839,811
