x,y,label
4.374076,8.292776,538
10.934667,4.614554,213
-2.277309,-9.298329,969
11.020783,0.989026,281
-3.501384,6.276374,625
3.507102,5.510039,966
6.129225,3.056421,757
6.503159,0.818912,982
-4.789619,-4.092908,461
8.957131,8.098802,237
-0.422289,-6.668953,339
6.706086,0.787336,30
-10.149779,-0.066595,403
-8.944421,4.041856,357
2.683490,2.430774,431
8.964442,7.986100,313
-9.650352,-3.998059,158
-2.121133,2.125200,728
3.045471,-2.946707,794
4.124737,2.182084,704
10.697880,5.286812,600
3.943970,12.549035,3
-9.358703,-8.407749,920
3.861949,9.386366,640
11.205094,-3.187605,69
-5.491997,-11.018299,105
1.832382,11.230160,434
-8.998534,0.117092,387
0.716523,1.826385,891
10.285608,1.424942,25
-3.428123,4.455682,794
3.068048,2.524935,230
-2.758035,-7.841443,696
2.690643,1.206307,856
12.740174,-0.703412,988
10.293880,-0.727207,557
6.595706,4.389392,500
2.771724,8.363896,889
1.389463,3.397199,903
9.255952,-1.825778,385
-0.243756,-5.275396,537
-7.217540,-5.854912,205
1.825254,-11.097677,300
-5.312308,1.240460,728
-7.434094,3.888441,703
-3.983418,7.529195,173
8.060447,-1.818051,431
0.100966,-9.765365,630
-0.807498,-3.652779,765
-0.802641,8.971255,60
-0.842593,-4.837242,180
8.792651,-1.297381,354
-5.817674,2.058548,340
2.610856,-11.854856,392
-4.066646,-8.914309,843
-0.497262,4.653312,798
8.711213,-0.098845,414
3.379570,13.228594,599
2.755743,-2.074587,380
-4.261730,1.588223,440
-1.799860,-2.902599,609
-2.142965,3.065216,284
-1.860411,-1.961253,215
-0.448068,-0.904426,32
-4.860678,-0.422986,597
6.647277,8.023534,439
7.372748,3.390668,646
0.039436,11.840452,692
-1.313312,-1.961125,369
-3.617878,-5.533657,696
11.836027,2.744430,873
-2.176661,-12.622970,45
-6.943028,-0.563505,450
5.598815,1.672171,914
-6.638661,8.668325,879
11.055945,1.482088,469
-9.910561,6.025743,55
11.228984,1.046087,348
-5.688279,-2.841071,90
-0.402931,10.513657,651
6.247606,3.645461,420
-1.100273,-0.517987,942
-9.600779,6.234929,169
-11.750818,-1.522298,52
-0.988142,3.285699,737
-5.073924,-0.539693,562
-9.152030,8.161618,823
-10.874390,0.589647,686
3.789335,12.483697,271
5.327231,4.202100,342
3.499158,-5.830302,953
4.934642,-6.178604,875
10.186646,3.109779,586
1.819911,14.185594,479
3.301855,9.502546,666
-8.474551,0.196880,799
1.655142,1.567140,432
-5.050088,2.340376,50
-6.984150,-9.966137,293
4.754196,-0.914148,272
0.434728,-0.196178,236
1.892921,-2.627648,752
-7.627700,-0.043302,326
2.493499,2.629913,800
7.853579,-5.796089,272
2.954042,0.440539,119
-10.670006,-4.029727,766
-6.493077,1.234351,442
-7.596765,4.130778,676
-10.265696,-0.339032,979
5.056238,5.724252,783
-7.564577,9.297621,534
-0.778400,2.807691,74
-5.711897,7.555645,21
-0.304418,0.380151,916
-5.313124,-11.104117,675
5.269591,-3.703332,651
1.143425,10.666475,845
8.141078,-6.161682,953
3.402350,-7.230363,327
-3.156420,7.081080,786
4.828277,-4.991284,799
1.992113,7.810520,82
-2.274738,-4.261598,845
8.971871,-4.398619,68
-9.935287,2.448482,763
-3.309311,-9.007125,926
-8.597153,0.982590,705
-7.322296,9.102878,694
-1.869688,-11.111500,607
8.594262,5.727667,273
-11.106648,-4.965851,585
-4.090352,3.581176,504
-1.321012,10.982253,930
0.176669,-3.477444,115
11.613760,-2.652791,159
-0.246740,-8.511835,640
-3.451418,-7.813607,202
-8.046306,5.862653,579
-8.869418,-1.393655,605
6.452120,9.635197,871
8.301201,5.023750,363
-5.367545,-2.139376,434
-9.177076,-7.879713,194
-5.325550,-6.457444,368
-2.706360,5.977411,596
8.690110,-1.325807,718
4.762021,-5.413944,107
4.193789,-4.490494,373
-3.424254,-6.680917,975
-4.617808,-5.995504,673
-4.635810,6.884335,831
0.248403,6.175942,417
-7.321250,9.753263,943
-2.231354,-5.195620,601
7.507400,-0.239045,775
0.404449,-3.254693,88
-3.082761,-9.345844,125
2.611919,8.227986,867
-6.171078,6.585539,663
2.530984,9.413705,307
-3.734128,8.568023,837
3.289218,-0.696881,937
-3.673882,-9.513356,635
1.205172,0.785373,393
-11.107102,4.816859,42
-4.209932,-9.630882,255
2.667349,-3.031899,390
-4.765790,9.338424,866
1.301766,6.394800,989
-6.410257,0.153226,862
3.067073,11.361697,888
-7.849046,-3.168828,858
-0.173449,-2.159129,5
-3.386639,-2.193098,273
1.566825,3.040875,642
0.881542,2.077894,745
-5.261706,-10.306054,785
-3.799604,1.791520,613
-2.632254,-12.081261,122
0.603054,3.359377,271
5.339495,6.895079,916
-5.761862,-4.249125,216
-10.380057,-0.408073,727
-9.817831,-5.307185,847
-1.370515,9.085746,368
7.039129,3.954501,164
-7.762407,-0.282937,733
-9.447706,-1.215528,796
-8.222958,0.134822,678
1.161444,-2.152486,804
10.349169,-5.762988,583
-9.758620,-2.931309,862
6.957465,-6.972401,355
11.047553,-5.469099,772
4.217079,1.701845,392
-10.385383,4.549717,167
7.255087,1.295988,242
-4.188947,-8.471673,851
-4.660604,-4.656723,675
7.165578,-4.813024,578
2.240776,7.798802,459
4.009232,9.762404,332
1.986416,1.606963,700
