x,y,label
-4.879959,3.109609,789
-11.754813,2.819414,74
4.015912,-2.630238,547
-1.720035,5.789463,779
-9.997660,10.139516,837
-5.215684,-10.993795,991
7.470887,1.430404,948
5.807870,-3.197293,971
2.471968,4.694076,537
5.501553,6.112138,652
-5.062614,5.318340,525
-2.355464,3.053033,735
2.660936,-9.648343,462
-3.039914,-1.390345,483
-9.629394,2.572916,81
-2.861142,-2.983349,646
7.246204,5.059787,388
-0.254703,6.964721,914
0.018609,-10.507474,637
-3.509322,2.797362,988
-7.947253,-8.349591,173
11.487561,-2.711575,217
-11.852738,1.639245,784
-6.910872,3.648963,850
7.114637,-4.588860,175
-3.783059,9.806868,603
0.335928,10.443855,500
6.008301,-0.310944,85
-13.201375,5.457135,405
2.619987,-7.073890,259
-1.330976,10.295771,553
7.219458,-1.716510,720
-11.832323,1.160043,959
1.849495,-6.917017,952
-3.487863,-6.789017,923
5.511576,-2.665030,932
2.447378,-6.308234,504
-3.344483,-1.422531,460
-7.764330,-1.724511,350
-4.036630,3.979737,863
4.284470,2.775502,711
6.185868,-6.790052,812
6.069556,-4.546891,347
10.375678,2.218857,446
9.775963,-0.935949,167
-0.958934,-8.775704,193
3.212489,-7.106663,86
5.627730,-8.121507,645
-7.450652,-3.875633,629
-1.707125,12.124222,280
-6.826668,10.804861,670
7.894182,1.806793,794
2.351628,-4.595804,780
-8.627125,0.553239,51
0.144876,-4.034393,416
-5.254421,-0.904733,63
-7.089594,0.472451,177
-4.573363,-6.763185,852
8.826499,6.052409,391
3.790448,-4.789289,393
10.147614,3.536081,928
-2.323056,4.457645,313
-6.085659,-4.898674,732
-0.872596,-2.980669,641
-9.884488,6.198134,85
-9.143947,2.658946,937
-6.782653,-8.191155,947
9.624894,-5.703273,721
1.815802,2.820856,864
7.824201,9.298008,96
8.580922,-3.630796,550
-1.553450,6.067002,28
-4.185304,-8.507558,849
-0.425559,-4.189233,244
9.882480,-5.267695,403
-4.361771,-11.792632,159
-1.707924,-2.722458,748
-5.253057,-11.176769,954
-3.405443,-0.445526,616
-4.879291,-1.467504,60
1.402722,-5.549792,431
-5.755116,-3.602926,123
2.622408,-3.987823,221
6.440693,1.209927,799
-7.746169,7.299684,406
-8.726948,-6.305097,724
-10.321021,-3.637196,811
-2.907740,3.658966,76
2.172390,-9.205374,875
4.294647,0.218592,688
-11.437363,5.366179,493
6.582733,-0.198879,176
5.581340,-3.384049,101
1.690065,-1.037048,160
1.576268,-3.126417,204
6.400704,-3.597189,5
3.852987,-10.232439,862
-11.156572,-3.971224,567
-13.607995,5.454771,897
-4.491854,-3.546120,245
0.167228,-5.118818,244
6.408675,-1.901488,760
-4.568978,-1.502763,877
7.664743,-7.254994,506
6.966160,-0.226104,214
-9.218050,-8.203684,960
-3.530007,-10.149694,767
-5.635868,-6.634290,264
7.870661,-8.761707,772
2.075560,7.747068,521
3.553016,11.738028,500
-5.434457,0.358858,538
-5.978097,6.714382,879
5.856764,-0.051166,154
-1.236891,-4.089405,987
4.721730,-1.747722,2
5.574261,6.325036,864
12.371273,-2.402500,550
8.583251,0.084381,198
-1.174240,-12.792839,339
