x,y,label
-6.436172,-1.900820,86
2.819850,3.550984,594
5.560059,-2.774200,984
2.996750,-0.027847,249
-6.108854,4.849956,865
-0.215648,-9.116819,425
-2.168463,5.397364,553
12.551421,2.269435,271
5.338355,-6.370720,643
-13.349259,2.916685,946
-8.056139,-11.631544,444
3.979439,-10.696175,406
2.560281,-8.165824,583
-1.040141,11.434742,186
-5.404527,-0.503481,8
-12.626052,-0.501019,140
7.591896,10.771856,426
0.447290,11.835620,639
-4.985242,2.768489,243
4.662386,8.898923,593
5.530509,-9.382301,302
7.613422,12.655475,415
-3.638445,1.570124,216
5.658267,3.787099,295
-2.679581,11.747979,699
4.351322,9.271060,141
-7.467392,-4.839808,851
8.662689,-3.215880,131
-1.484124,12.854964,946
-6.414320,8.624681,841
0.038911,6.786749,4
-9.058071,-10.822805,125
-8.941282,-3.347832,905
-0.780807,13.206891,68
-3.588377,6.725530,675
1.928834,12.234601,398
-13.334779,-6.325785,809
-5.641240,8.078829,953
10.625050,2.324933,987
-0.720791,1.742156,373
-8.800460,-11.403910,382
-3.103367,1.351025,903
11.924448,-2.303788,967
-9.162296,-8.200733,213
0.151727,-3.503241,436
6.178562,7.402604,719
-7.259504,3.667397,292
-1.569149,-0.198998,456
-2.484711,9.216977,509
6.675987,-4.106434,101
4.145743,0.199665,807
-5.820984,-7.012429,658
-1.872551,4.271435,753
9.157334,-3.512633,845
8.078118,4.004065,985
3.734726,-12.079184,810
-4.353759,13.712308,850
-1.283018,-6.271289,340
12.255308,-5.189019,571
10.364353,2.666218,795
2.489048,6.989300,234
-1.683353,-6.510710,29
-8.767564,0.770902,724
0.546293,13.971937,861
-7.571557,-9.583658,366
9.638419,-8.375537,641
0.218253,14.283062,395
-4.640476,-0.236769,533
-5.054135,-1.004490,572
-8.685951,-5.114201,464
9.225212,3.479076,564
-13.383875,-1.302793,23
-6.969462,12.691290,254
-3.998831,13.283812,649
-0.828173,-12.150992,10
7.884701,-3.461802,783
-10.670679,6.438220,489
